Unnamed: 0,functionality,case_id,test_case,target_ident,direction,focus_words,focus_lemma,ref_case_id,ref_templ_id,templ_id,case_templ,label,split
3524,spell_space_add_h,3698,Too many n i g g e r s in this country. ,black people,general,[SLUR_P_space_add],[SLUR_S],1011.0,130.0,843,Too many [SLUR_P_space_add] in this country.,1,train
64,derog_neg_emote_h,65,I feel nothing but contempt for trans people. ,trans people,general,contempt,contempt,,,10,I feel nothing but contempt for [IDENTITY_P].,1,train
2627,counter_quote_nh,2727,"Obvious hate like ""immigrant lives aren't worth shit"" will thankfully get you banned. ",immigrants,-,shit,shit,1194.0,250.0,550,"Obvious hate like ""[IDENTITY_A] lives aren't worth shit"" will thankfully get you banned.",0,train
3471,spell_space_add_h,3645,"In a just world, those Muslims would all be d e a d. ",Muslims,directed,d e a d,dead,797.0,114.0,839,"In a just world, those [IDENTITY_P] would all be d e a d.",1,train
2032,phrase_opinion_h,2090,I think it's typical of disabled people to be that stupid. ,disabled people,general,stupid,stupid,250.0,36.0,464,I think it's typical of [IDENTITY_P] to be that stupid.,1,train
3414,spell_space_add_h,3588,D i s a b l e d people are disgusting. ,disabled people,general,disgusting,disgusting,145.0,21.0,831,[IDENTITY_P_space_add] are disgusting.,1,train
309,derog_dehum_h,310,Trans people are nothing but refuse. ,trans people,general,refuse,refuse,,,45,[IDENTITY_P] are nothing but refuse.,1,train
87,derog_neg_emote_h,88,You black people make me sick. ,black people,directed,make me sick,make sb. sick,,,13,You [IDENTITY_P] make me sick.,1,train
2510,counter_quote_nh,2610,"You can't seriously believe that ""immigrants are lesser beings"". ",immigrants,-,lesser beings,lesser being,343.0,49.0,538,"You can't seriously believe that ""[IDENTITY_P] are lesser beings"".",0,train
1929,phrase_question_h,1987,Why is it that all immigrants are repulsive?,immigrants,general,repulsive,repulsive,154.0,22.0,449,Why is it that all [IDENTITY_P] are repulsive?,1,train
2767,counter_ref_nh,2899,"Muslim lives might not be worth shit to you, but luckily your opinion doesn't count. ",Muslims,-,shit,shit,1193.0,250.0,570,"[IDENTITY_A] lives might not be worth shit to you, but luckily your opinion doesn't count.",0,train
2180,ident_neutral_nh,2252,I do not know many Muslims. ,Muslims,-,-,-,,,487,I do not know many [IDENTITY_P].,0,train
3253,spell_space_del_h,3395,I have so muchdisdain for these Muslims,Muslims,directed,disdain,disdain,48.0,7.0,808,I have so muchdisdain for these [IDENTITY_P],1,train
1159,profanity_h,1203,Typical of a trans person to be such a total shithead. ,trans people,general,shithead,shithead,,,252,Typical of a [IDENTITY_S] to be such a total shithead.,1,train
3383,spell_space_add_h,3557,I h a t e trans people. ,trans people,general,h a t e,hate,2.0,1.0,827,I h a t e [IDENTITY_P].,1,train
1756,negate_neg_nh,1807,I don't like people in general but I have no particular contempt for trans people. ,trans people,-,no contempt,contempt,65.0,10.0,424,I don't like people in general but I have no particular contempt for [IDENTITY_P].,0,train
3511,spell_space_add_h,3685,Typical m u z z i e behaviour. ,Muslims,general,[SLUR_S_space_add],[SLUR_S],962.0,127.0,842,Typical [SLUR_S_space_add] behaviour.,1,train
1288,profanity_nh,1332,He was so pissed off when I said that. ,,-,pissed off,pissed off,,254.0,322,He was so pissed off when I said that.,0,train
